"reference_no","aff_country","samp_country"
56217,"Egypt",NA
56217,"UK",NA
55655,"Egypt",NA
55655,"UK",NA
77979,"Italy",NA
41825,"Japan",NA
48170,"Argentina","Argentina"
25851,"India",NA
25851,"Japan",NA
48148,"Argentina","Argentina"
28473,"USA","United States"
60830,"Poland","Poland"
48004,"Argentina","Argentina"
77867,"Italy","Italy"
36750,"Japan","Turkey"
36750,"Turkey","Turkey"
78400,"India","India"
78400,"India","Nepal"
77931,"Egypt","Egypt"
30598,"USA","Norway"
30598,"Norway","Norway"
52945,"UK",NA
52945,"Germany",NA
48166,"Argentina","Argentina"
88513,"Mexico","Mexico"
42116,"Turkey","Turkey"
45332,"China",NA
45332,"USA",NA
44171,"India","Iraq"
44171,"India","India"
47642,"India","India"
47438,"Slovenia","Slovenia"
87938,"Japan",NA
56475,"USA",NA
49947,"Tunisia","Spain"
49947,"Spain","Spain"
77613,"India","India"
77854,"Slovenia","Slovenia"
65996,"Japan","Japan"
42242,"Russia",NA
42242,"Iran",NA
80951,"India","India"
80951,"USA","India"
74311,"India","India"
42537,"China","China"
42537,"USA","China"
57559,"India","India"
50201,"Italy","Italy"
50201,"The Netherlands","Italy"
77849,"Italy","Italy"
48265,"Argentina",NA
48265,"Argentina","Argentina"
48096,"Argentina","Venezuela"
59226,"India",NA
59226,"USA",NA
44219,"Spain","Spain"
44219,"Italy","Spain"
55229,"Australia","New Zealand"
55229,"New Zealand","New Zealand"
42027,"Japan","Japan"
54760,"Sweden","Australia"
54760,"Australia","Australia"
74730,"India",NA
74061,"India","India"
72992,"USA",NA
42029,"Japan","Japan"
50684,"Turkey","Turkey"
49972,"Germany","Germany"
45274,"UK","Germany"
45274,"Germany","Germany"
47174,"Slovakia","Slovakia"
47174,"Czech Republic","Slovakia"
54213,"India","India"
55475,"Egypt",NA
74246,"India","India"
46117,"Australia","Timor-Leste"
78159,"Australia","French Polynesia"
78159,"Italy","French Polynesia"
78159,"Japan","French Polynesia"
48025,"Argentina","Argentina"
45888,"Russia",NA
45937,"Russia",NA
86131,"Argentina","Argentina"
69747,"India",NA
49130,"Australia",NA
49130,"China",NA
47985,"Argentina","Argentina"
55901,"Nigeria",NA
74237,"India","India"
66622,"Argentina","Argentina"
66622,"USA","Argentina"
82244,"Iran","Iran"
81044,"Spain","Morocco"
81044,"Ireland","Morocco"
81044,"Morocco","Morocco"
47232,"Russia",NA
58376,"USA",NA
66522,"Canada",NA
